id,baseline/000,baseline/001,baseline/002,baseline/003,baseline/004,baseline/005,baseline/006,baseline/007,baseline/008,baseline/009,baseline/010,baseline/011,baseline/012,holdout/000,holdout/001,holdout/002,holdout/003,holdout/004,holdout/005
./spec/iriq/calibration_spec.rb[1:1:115],27,29,44,73,29,39,35,32,38,36,29,139,66,24,24,27,24,26,22
./spec/iriq/calibration_spec.rb[1:1:116],26,29,31,69,29,37,36,31,35,34,29,435,65,24,23,26,22,25,24
./spec/iriq/calibration_spec.rb[1:1:117],28,31,34,73,34,43,38,34,39,39,33,81,74,26,25,30,24,26,24
./spec/iriq/calibration_spec.rb[1:1:118],24,24,28,57,28,32,31,28,30,31,27,62,57,22,21,23,21,21,20
./spec/iriq/calibration_spec.rb[1:1:119],27,27,32,78,30,36,36,33,34,35,30,92,64,24,24,28,24,24,23
./spec/iriq/calibration_spec.rb[1:1:120],27,27,32,68,30,36,37,32,38,36,31,172,379,25,23,28,30,25,22
./spec/iriq/calibration_spec.rb[1:1:121],27,27,31,68,30,36,36,32,35,35,30,74,67,25,24,27,25,25,24
./spec/iriq/calibration_spec.rb[1:1:122],27,28,35,65,32,36,34,34,36,35,29,79,34,24,23,27,24,24,24
./spec/iriq/calibration_spec.rb[1:1:123],39,33,36,73,31,38,37,32,38,36,31,83,32,25,23,28,25,26,23
./spec/iriq/calibration_spec.rb[1:1:124],23,24,27,56,26,30,30,27,32,31,26,157,28,21,20,23,23,21,20
./spec/iriq/calibration_spec.rb[1:1:125],23,23,27,56,25,30,32,27,31,30,26,256,29,20,20,23,21,21,21
./spec/iriq/calibration_spec.rb[1:1:126],28,28,33,66,30,37,36,32,37,38,30,116,32,24,24,27,24,25,24
./spec/iriq/calibration_spec.rb[1:1:127],27,26,32,64,30,36,36,32,36,35,30,84,32,25,23,27,23,24,23
./spec/iriq/calibration_spec.rb[1:1:128],26,27,32,65,29,37,34,31,35,36,31,71,32,25,23,26,24,24,24
./spec/iriq/calibration_spec.rb[1:1:129],28,26,32,70,29,35,34,33,35,36,30,69,32,24,23,28,25,24,23
./spec/iriq/calibration_spec.rb[1:1:130],31,30,34,74,32,41,39,35,39,41,33,78,37,27,27,31,26,26,25
./spec/iriq/calibration_spec.rb[1:1:131],28,29,33,66,30,37,36,32,39,37,31,69,33,25,24,28,24,26,24
./spec/iriq/calibration_spec.rb[1:1:132],28,29,33,67,30,37,36,33,37,38,30,70,35,26,24,30,24,25,25
